id,nama_wisata,kategori_wisata,kecamatan,desa,alamat,latitude,longitude,jam_operasional,tiket_masuk,toilet,mushola,tempat_makan,media_sosial,deskripsi,foto
12,Hutan Mangrove,Wisata Alam,Temon,Jangkaran,"Dusun Pasir Mendit, Desa Jangkaran, Kecamatan Temon, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55654",-7.894294,110.024475,06.00 - 18.00,Rp2.000 - Rp5.000,Ada,Ada,Ada,mangrove_wanatirta_official,"Hutan Mangrove Kulon Progo merupakan kawasan wisata alam yang berada di sekitar pesisir Desa Jangkaran, Kecamatan Temon. Kawasan ini memiliki hamparan hutan mangrove yang dapat dijelajahi melalui jalur dan jembatan kayu, salah satunya Jembatan Api-Api. Selain sebagai tempat rekreasi dan fotografi, kawasan mangrove juga memiliki fungsi ekologis dan menjadi sarana edukasi mengenai pentingnya ekosistem pesisir.",Picture
13,Waduk Sermo,Wisata Rekreasi,Kokap,Hargowilis,"Dusun Sermo Lor, Desa Hargowilis, Kecamatan Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta",-7.823327,110.124296,07.00 - 17.00,Rp6.000 per orang,Ada,Ada,Ada,waduk.sermo,"Waduk Sermo terletak di Desa Hargowilis, Kecamatan Kokap, dan merupakan waduk yang memiliki panorama perbukitan serta perairan yang indah. Selain berfungsi untuk irigasi, pengendalian banjir, dan perikanan, Waduk Sermo juga dikembangkan sebagai kawasan wisata. Berbagai aktivitas dapat dilakukan di kawasan ini, seperti memancing, bersepeda, hiking, berkemah, dan olahraga air.",Picture
14,Kalibiru,Wisata Alam,Kokap,Hargowilis,"Dusun Kalibiru, Desa Hargowilis, Kecamatan Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta",-7.807405,110.125993,08.00 - 17.00,Rp10.000 - Rp35.000,Ada,Ada,Ada,wisatakalibiru,Kalibiru merupakan destinasi wisata alam di kawasan perbukitan Menoreh yang menawarkan pemandangan hijau dan panorama Waduk Sermo dari ketinggian. Tempat ini dikenal dengan berbagai gardu pandang dan spot foto yang berada di atas pepohonan. Suasana alam yang sejuk dan pemandangan dari ketinggian menjadi daya tarik utama bagi wisatawan.,Picture
15,Pulepayung,Wisata Rekreasi,Kokap,Hargotirto,"Soropati, Clapar 2, Hargotirto, Kecamatan Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55653",-7.799943,110.123771,15.00 - 22.00,Rp10.000 - Rp30.000,Ada,Ada,Ada,pulepayung,Pule Payung merupakan wisata alam di kawasan perbukitan Kulon Progo yang menawarkan panorama perbukitan dan Waduk Sermo dari ketinggian. Destinasi ini memiliki berbagai gardu pandang dan spot foto yang menjadi daya tarik wisatawan. Pulepayung cocok bagi pengunjung yang ingin menikmati pemandangan alam sekaligus melakukan aktivitas fotografi.,Picture
16,Ekowisata Sungai Mudal,Wisata Alam,Girimulyo,Jatimulyo,"Banyunganti, Jatimulyo, Kecamatan Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",-7.76282,110.116125,08.00 - 16.00,Rp2.000 - Rp15.000,Ada,Ada,Ada,sungaimudal,"Ekowisata Sungai Mudal merupakan kawasan wisata alam yang berada di Jatimulyo, Kecamatan Girimulyo. Daya tarik utamanya adalah aliran sungai dengan air yang jernih, kolam alami, serta air terjun yang bertingkat-tingkat. Kawasan ini menawarkan suasana alami yang cocok untuk menikmati keindahan lingkungan, bermain air, dan bersantai.",Picture
17,Gua Kiskendo,Wisata Alam,Girimulyo,Jatimulyo,"Jatimulyo, Kecamatan Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",-7.747168,110.13145,08.00 - 17.00,Rp6.000,Ada,Ada,Ada,goakiskendo,"Gua Kiskendo merupakan objek wisata alam yang berada di kawasan perbukitan Menoreh, Kecamatan Girimulyo. Gua ini memiliki keindahan bentang alam bawah tanah berupa lorong dan formasi batuan yang terbentuk secara alami. Gua Kiskendo juga memiliki keterkaitan dengan cerita pewayangan yang menjadi bagian dari daya tarik budaya kawasan tersebut. Gua Kiskendo juga termasuk destinasi yang ditampilkan oleh Dinas Pariwisata Kulon Progo",Picture
18,Ayunan Langit,Wisata Alam,Girimulyo,Purwosari,"Sebrangkidul, Purwosari, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",-7.735714,110.130286,07.00 - 17.00,Rp10.000 - Rp30.000,Ada,Ada,Ada,ayunan_langit,"Ayunan Langit merupakan salah satu wisata alam yang menawarkan pengalaman menaiki ayunan di ketinggian dengan latar panorama perbukitan Kulon Progo. Wahana ini memberikan sensasi berayun di atas tebing sekaligus menikmati pemandangan alam dari ketinggian. Selain menjadi wahana rekreasi, Ayunan Langit juga menjadi salah satu spot foto yang menarik bagi wisatawan.",Picture
19,Desa Wisata Nglinggo,Wisata Alam ,Samigaluh,Pangeharjo,"Nglinggo Barat, Pagerharjo, Kec. Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55673",-7.647668,110.141878,07.00 - 18.00 ,"Rp5,000",Ada,Ada ,Ada ,@nglinggo.official,Wisata ini menawarkan objek wisata berupa hamparan perkebunan teh dengan luas sekitar 136 hektare di ketinggian 900-1000 mdpl . Di sana pengunjung dapat melihat para pemetik daun teh dan dapat pula ikut memanen daun teh.,
21,Gua Maria Sendangsono,Wisata Budaya dan Religi,Kalibawang,Banjaroyo,"Jl. Sendangsono, Samagang, Banjaroyo, Kec. Kalibawang, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55672",-7.668023,110.225509,07.00 - 18.00 ,Rp0,Ada,Ada ,Ada ,sendangsono_official.,"Sendangsono merupakan kawasan wisata religi di Banjaroyo, Kulon Progo, yang terkenal dengan Gua Maria Sendangsono. Berada di kawasan Perbukitan Menoreh, tempat ini memiliki suasana yang tenang dan juga mempunyai nilai sejarah penting dalam perkembangan Katolik di Jawa",
22,Desa Wisata Banjaroya,Wisata Alam,Kalibawang,Banjaroyo,"Kapanewon Kalibawang, Kalurahan, Petreonalan, Banjaroyo, Kec. Kalibawang, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55672",-7.652252,110.255872,06.00 - 18.00 ,Rp0,Ada,Ada ,Ada ,desawisatabanjaroya.,"Desa Wisata Banjaroya terletak di lereng Perbukitan Menoreh dan menawarkan pengalaman wisata pedesaan yang kental dengan budaya serta kehidupan masyarakat lokal. Salah satu daya tarik utamanya adalah agrowisata durian, selain wisata alam seperti Embung Tonogoro dan Pasar Kebon.",
23,Desa Wisata Banjarasri,Wisata Rekreasi,Kalibawang,Banjarasri,"Boro, Banjarasri, Kec. Kalibawang, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55672",-7.698578,110.22545,09.00 - 17.00 ,"Rp15,000 - Rp600,000",Ada,Ada ,Ada ,desawisatabanjarasri,"Desa Wisata Banjarasri merupakan desa wisata di lembah Perbukitan Menoreh yang mengangkat tema harmoni dan toleransi. Wisatawan dapat menikmati wisata religi, budaya, alam, hingga aktivitas seperti jeep adventure, river tubing, outbound, dan paralayang",
24,Makam Nyi Ageng Serang,Wisata Budaya dan Religi,Kalibawang,Banjarharjo,"Podsuna Ngatem, Banjarharjo, Kec. Kalibawang, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55672",-7.686637,110.240829,00.00 - 23.59,Rp0,Ada,Ada ,Ada ,-,"Makam Nyi Ageng Serang merupakan destinasi wisata sejarah dan religi yang berada di atas bukit di Banjarharjo, Kalibawang, Kulon Progo. Tempat ini menjadi penghormatan terhadap perjuangan Nyi Ageng Serang, salah satu pahlawan nasional Indonesia, dan sering dikunjungi untuk berziarah",
25,Rumah Sandi,Wisata Budaya dan Religi,Samigaluh,Purwoharjo,"Dukuh, Purwoharjo, Kec. Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55673",-7.708125,110.203482,09.00 - 14.00,Rp0,Ada,Ada ,Ada ,rumah.sandi ,"Rumah Sandi di Dusun Dukuh, Purwoharjo, Samigaluh, merupakan bangunan bersejarah yang pernah digunakan sebagai markas komunikasi dan persandian pejuang Indonesia pada masa Agresi Militer Belanda II. Kini Rumah Sandi menjadi destinasi wisata sejarah dan edukasi serta telah ditetapkan sebagai cagar budaya tingkat kabupaten",
27,Desa Wisata Jatimulyo,Wisata Rekreasi,Girimulyo,Jatimulyo,"Sekretariat Desa Wisata, Sokomoyo, Jatimulyo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",-7.752627,110.130762,10.00 - 15.00,Rp5.000 - Rp15.000,Ada,Ada ,Ada ,desawisatajatimulyo,"Desa Wisata Jatimulyo terletak di Pegunungan Menoreh, Kulon Progo, Yogyakarta, yang terkenal sejuk dan dijuluki ""desa ramah burung"" serta ""Desa Seribu Kedung"". Desa wisataini menawarkan pesona pemandian alami seperti Sungai Mudal dan Kedung Pedut, susur Goa Kiskendo, pertunjukan seni Sendratari Sugriwa Subali, bird watching, hingga kuliner khas wedang sari salak.",
28,Desa Wisata Purwosari,Wisata Rekreasi,Girimulyo,Purwosari,"Sebrangkidul, Purwosari, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",-7.734922,110.133382,08.00 - 17.00,Rp15.000 - Rp50.000,Ada,Ada,Ada,desawisatapurwosari,"Desa Wisata Purwosari terletak di kawasan perbukitan Menoreh, Kulon Progo, Yogyakarta, pada ketinggian 850 mdpl. Desa ini menawarkan wahana ekstrem Ayunan Langit Watu Jaran, pesona air terjun seperti Curug Glimpang, susur Goa Kidang Rencang, glamping, edukasi agro (perah susu kambing etawa, olahan teh, gula aren), serta pertunjukan Tari Angguk.",
30,Desa Wisata Sermo,Wisata Rekreasi,Kokap,Sermo Lor,"Sremo Lor, Hargowilis, Kec. Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55653",-7.820139,110.122574,08.00 - 17.00,Rp5.000 - Rp50.000,Ada,Ada,Ada,deswitasermo,"Desa Wisata Sermo adalah destinasi eduekowisata di kawasan Perbukitan Menoreh, Kokap, Kulon Progo, Yogyakarta, yang terkenal dengan Waduk Sermo sebagai satu-satunya waduk di DIY. Desa ini menawarkan wisata keliling waduk dengan perahu, spot camping dan campervan tepi air, tur jeep, edukasi pembuatan bakpia dan geblek, serta pertunjukan seni tradisional seperti jathilan, incling, ketoprak, dan wayang kulit.",Picture
31,Desa Wisata Kalibiru,Wisata Alam ,Kokap,Kalibiru,"Jl. Kalibiru, Kalibiru, Hargowilis, Kec. Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55653",-7.807425,110.129266,08.00 - 16.00,Rp10.000 - Rp30.000,Ada,Ada,Ada,wisatakalibiru,"Desa Wisata Kalibiru adalah kawasan ekowisata di Hargowilis, Kokap, Kulon Progo, Yogyakarta, yang berada di ketinggian 450 mdpl pada Perbukitan Menoreh. Hasil inisiatif warga dalam memulihkan bekas hutan gundul ini menawarkan panorama Waduk Sermo, spot foto ikonik di atas pohon, serta wahana outbound dan jalur trekking berudara sejuk.",Picture
32,Segajih Live-In,Wisata Rekreasi,Kokap,Hargotirto,"Segajih, Hargotirto, Kec. Kokap, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55653",-7.799375,110.116687,07.00 - 21.00,Rp0,Ada,Ada,Ada,segajih_livein,"Segajih Live-In adalah program wisata menginap dan edukasi di Hargotirto, Kokap, Kulon Progo, Yogyakarta. Wisatawan tinggal di homestay penduduk atau berkemah di kawasan pegunungan, serta berpartisipasi langsung dalam aktivitas warga seperti membatik, membuat gula semut, bermain gamelan, dan menikmati kuliner khas sego tiplek.",Picture
33,Embung Kleco,Wisata Rekreasi,Girimulyo,Giripurwo,"Ngesong, Giripurwo, Kec. Girimulyo, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55674",-7.777805,110.163464,05.30 - 19.00,Rp3.000,Ada,Ada,Ada,embungkleco,"Embung Kleco adalah waduk buatan di puncak Perbukitan Menoreh, Giripurwo, Girimulyo, Kulon Progo, Yogyakarta, yang berfungsi menampung air hujan untuk irigasi pertanian warga. Terletak di ketinggian, tempat wisata ini menawarkan pemandangan panorama hijau pegunungan, Kota Wates, garis pantai selatan, serta menjadi lokasi favorit untuk menikmati sunrise dan sunset.",Picture
34,Desa Wisata Tinalah,Wisata Rekreasi,Sendang Sari,Samigaluh,"Jl. Persandian No.KM 5, Sendang Sari, Purwoharjo, Kec. Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55673",-7.695576,110.195877,08.30 - 16.00,Rp10.000 - Rp20.000,Ada,Ada,Ada,dewitinalah,"Desa Wisata Tinalah adalah destinasi alam, budaya, dan edukasi bersejarah di kawasan Pegunungan Menoreh, Kulon Progo, Yogyakarta, berjarak sekitar 25 km dari Kota Yogyakarta. Desa di tepi Sungai Tinalah yang dulunya menjadi lokasi persembunyian Pangeran Diponegoro ini menawarkan aktivitas camping, outbound, tubing, tur jeep, menginap di homestay, serta edukasi membatik dan memanah tradisional (jemparingan).",Picture
